Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Age_Group,BMI_Category,Fat_Category,Calories_Level
0.9268292682926831,1,0.5372636262513903,0.41999999999999993,0.5128205128205128,0.7551020408163267,0.41666666666666696,0.7933333333333332,1313.0,3,0.10399999999999998,0.9090909090909091,0.6666666666666666,3,0.4765458422174839,55-64,Obese,Lean,0.0
0.6829268292682928,0,0.38820912124582874,0.06000000000000005,0.4871794871794872,0.6326530612244898,0.666666666666667,0.5333333333333334,883.0,1,0.9559999999999998,0.2727272727272728,0.6666666666666666,2,0.5245202558635393,45-54,Obese,Average,2.0
0.34146341463414637,0,0.31256952169076735,0.31999999999999984,0.17948717948717974,0.04081632653061229,0.16666666666666696,0.4066666666666667,677.0,0,0.936,0.36363636363636365,0.6666666666666666,2,0.33022388059701496,25-34,Normal,Average,1.0
0.17073170731707316,1,0.1468298109010011,0.3999999999999999,0.7692307692307692,0.8979591836734695,0.25,0.06,532.0,2,0.7520000000000001,0.2727272727272728,0.33333333333333337,1,0.1623134328358209,25-34,Underweight,Average,1.0
0.48780487804878053,1,0.06785317018909898,0.5800000000000001,0.7179487179487181,0.7755102040816326,0.75,0.09333333333333332,556.0,2,0.7679999999999999,0.5909090909090909,0.33333333333333337,1,0.05517057569296374,35-44,Underweight,Average,1.0
0.9268292682926831,0,0.20022246941045596,0.3599999999999999,0.2051282051282053,0.7346938775510203,1.0,0.7266666666666668,1116.0,1,0.21999999999999997,0.5454545454545455,0.9999999999999999,3,0.2193496801705757,55-64,Normal,Fit,2.0
0.43902439024390244,1,0.3370411568409343,0.43999999999999995,0.3589743589743595,1.0,0.9583333333333335,0.6599999999999999,1385.0,0,0.45200000000000007,0.36363636363636365,0.33333333333333337,2,0.30490405117270786,35-44,Normal,Fit,0.0
0.5365853658536586,0,0.33036707452725245,0.020000000000000018,0.7435897435897436,0.4285714285714288,0.5833333333333335,0.5133333333333334,895.0,0,0.824,0.18181818181818177,0.33333333333333337,2,0.48640724946695096,35-44,Obese,Average,2.0
0.2439024390243903,1,0.9087875417130145,0.8799999999999999,0.6410256410256414,0.14285714285714324,0.08333333333333348,0.35333333333333333,719.0,2,0.7559999999999999,0.5000000000000001,0.6666666666666666,2,0.533582089552239,25-34,Obese,Average,1.0
0.2439024390243903,1,0.6874304783092324,0.6800000000000002,0.23076923076923084,0.3265306122448983,0.5833333333333335,0.38666666666666666,808.0,0,0.7879999999999999,0.5454545454545455,0.33333333333333337,1,0.47308102345415776,25-34,Obese,Average,2.0
0.5609756097560976,1,0.8987764182424915,0.33999999999999986,0.7179487179487181,0.5306122448979593,0.16666666666666696,0.21333333333333332,593.0,1,0.42000000000000004,0.6818181818181818,0.0,1,0.8259594882729211,35-44,Obese,Fit,1.0
0.853658536585366,1,0.13014460511679637,0.3999999999999999,0.384615384615385,0.6530612244897962,0.916666666666667,0.4333333333333333,865.0,1,0.544,0.9090909090909091,0.33333333333333337,2,0.14845415778251597,45-54,Underweight,Fit,2.0
0.9512195121951221,1,0.8064516129032258,0.2200000000000002,0.8974358974358978,0.9183673469387754,0.4583333333333335,0.49333333333333335,1013.0,0,0.4840000000000001,0.5454545454545455,0.33333333333333337,2,0.8283582089552237,55-64,Obese,Fit,2.0
0.5609756097560976,1,0.6062291434927696,1.0,0.4871794871794872,0.3265306122448983,0.791666666666667,0.4533333333333333,794.0,1,0.7040000000000001,1.0,0.33333333333333337,1,0.3011727078891258,35-44,Normal,Average,1.0
0.04878048780487804,1,0.8642936596218018,0.6200000000000001,0.9230769230769234,0.8367346938775513,0.16666666666666696,0.5666666666666667,1195.0,3,0.656,0.818181818181818,0.33333333333333337,2,0.6292643923240937,Under 25,Obese,Average,2.0
0.5121951219512195,0,0.02780867630700773,0.5,0.5384615384615383,0.22448979591836737,0.08333333333333348,0.4199999999999999,740.0,2,0.648,0.2727272727272728,0.0,1,0.041577825159914705,35-44,Underweight,Average,1.0
0.024390243902439046,0,0.2669632925472747,0.06000000000000005,0.1538461538461542,0.9591836734693877,0.3333333333333335,0.5533333333333335,1111.0,1,0.7919999999999999,0.36363636363636365,0.33333333333333337,2,0.40031982942430694,Under 25,Overweight,Average,2.0
0.5609756097560976,0,0.042269187986651746,0.54,0.5641025641025639,0.9183673469387754,0.3333333333333335,0.4599999999999999,884.0,0,0.876,0.045454545454545525,0.33333333333333337,1,0.044243070362473325,35-44,Underweight,Average,2.0
0.7073170731707319,0,0.29810901001112333,0.5,1.0,0.5306122448979593,0.25,0.4199999999999999,742.0,2,0.9119999999999998,0.4545454545454545,0.33333333333333337,2,0.25293176972281445,45-54,Normal,Average,1.0
